;year;dia;mes;valor
670;2020;20.0;nov;758.62
671;2020;21.0;nov;
672;2020;22.0;nov;
673;2020;23.0;nov;761.55
674;2020;24.0;nov;765.96
675;2020;25.0;nov;772.83
676;2020;26.0;nov;771.68
677;2020;27.0;nov;766.0
678;2020;28.0;nov;
679;2020;29.0;nov;
680;2020;30.0;nov;766.69
681;2020;31.0;nov;
682;2019;1.0;dic;
683;2019;2.0;dic;812.13
684;2019;3.0;dic;804.29
685;2019;4.0;dic;802.44
686;2019;5.0;dic;796.75
687;2019;6.0;dic;784.25
688;2019;7.0;dic;
689;2019;8.0;dic;
690;2019;9.0;dic;779.04
691;2019;10.0;dic;771.29
692;2019;11.0;dic;778.14
693;2019;12.0;dic;772.93
694;2019;13.0;dic;768.69
695;2019;14.0;dic;
696;2019;15.0;dic;
697;2019;16.0;dic;766.76
698;2019;17.0;dic;762.83
699;2019;18.0;dic;756.95
700;2019;19.0;dic;752.3
701;2019;20.0;dic;752.6
702;2019;21.0;dic;
703;2019;22.0;dic;
704;2019;23.0;dic;749.83
705;2019;24.0;dic;754.27
706;2019;25.0;dic;
707;2019;26.0;dic;751.04
708;2019;27.0;dic;746.66
709;2019;28.0;dic;
710;2019;29.0;dic;
711;2019;30.0;dic;744.62
712;2019;31.0;dic;
713;2020;1.0;dic;767.29
714;2020;2.0;dic;760.16
715;2020;3.0;dic;755.34
716;2020;4.0;dic;752.03
717;2020;5.0;dic;
718;2020;6.0;dic;
719;2020;7.0;dic;747.61
720;2020;8.0;dic;
721;2020;9.0;dic;744.82
722;2020;10.0;dic;739.45
723;2020;11.0;dic;738.17
724;2020;12.0;dic;
725;2020;13.0;dic;
726;2020;14.0;dic;733.55
727;2020;15.0;dic;731.58
728;2020;16.0;dic;734.23
729;2020;17.0;dic;735.09
730;2020;18.0;dic;723.44
731;2020;19.0;dic;
732;2020;20.0;dic;
733;2020;21.0;dic;723.85
734;2020;22.0;dic;730.7
735;2020;23.0;dic;728.96
736;2020;24.0;dic;716.25
737;2020;25.0;dic;
738;2020;26.0;dic;
739;2020;27.0;dic;
740;2020;28.0;dic;710.26
741;2020;29.0;dic;710.64
742;2020;30.0;dic;711.24
743;2020;31.0;dic;
